# fe1_exp_067_165_photoneut_1976Gor.dat
#
# Z = 67, A =165
# No. of entries:  123
# Col 1: photon energy E in MeV
# Col 2: bin width dE in MeV
# Col 3: dipole strength f1 in MeV^-3
# Col 4: uncertainty df1 in MeV^-3
# Format: 2f10.3, 2e13.3
# Author:   1976Gor  B.I.Goryachev, Y.V.Kuznetsov, V.N.Orlin, et al.,; Yad.Fiz. 23, 1145 (1976); (Sov.J.Nucl.Phys. 23, 609(1977))
#    E         dE       f1           df1
#     8.400     0.000    0.248E-06    0.000E+00
    19.400     0.000    0.648E-06    0.581E-07
    19.500     0.000    0.827E-06    0.712E-07
    19.600     0.000    0.633E-06    0.708E-07
    19.700     0.000    0.449E-06    0.748E-07
    19.800     0.000    0.600E-06    0.745E-07
    19.900     0.000    0.519E-06    0.697E-07
    20.000     0.000    0.672E-06    0.651E-07
    20.100     0.000    0.475E-06    0.777E-07
    20.200     0.000    0.382E-06    0.902E-07
    20.300     0.000    0.547E-06    0.769E-07
    20.400     0.000    0.421E-06    0.808E-07
    20.500     0.000    0.322E-06    0.762E-07
    20.600     0.000    0.366E-06    0.842E-07
